question_text,subject,topic,difficulty,marks,bloom_level,answer,department
Evaluate the performance characteristics of Search Algorithms.,Artificial Intelligence,Search Algorithms,Easy,2,Understand,Sample answer for Search Algorithms in Artificial Intelligence.,CSE
Discuss the advantages and disadvantages of Search Algorithms in Artificial Intelligence.,Artificial Intelligence,Search Algorithms,Medium,8,Apply,Sample answer for Search Algorithms in Artificial Intelligence.,CSE
Differentiate between the various approaches to Search Algorithms.,Artificial Intelligence,Search Algorithms,Easy,2,Remember,Sample answer for Search Algorithms in Artificial Intelligence.,CSE
Evaluate the performance characteristics of Robotics.,Artificial Intelligence,Robotics,Easy,4,Remember,Sample answer for Robotics in Artificial Intelligence.,CSE
Calculate the efficiency of a system designed using Robotics.,Artificial Intelligence,Robotics,Hard,12,Create,Sample answer for Robotics in Artificial Intelligence.,CSE
Describe the historical evolution of Robotics.,Artificial Intelligence,Robotics,Medium,10,Analyze,Sample answer for Robotics in Artificial Intelligence.,CSE
Derive the mathematical formulation for Robotics.,Artificial Intelligence,Robotics,Easy,3,Remember,Sample answer for Robotics in Artificial Intelligence.,CSE
Evaluate the performance characteristics of Fuzzy Logic.,Artificial Intelligence,Fuzzy Logic,Medium,8,Apply,Sample answer for Fuzzy Logic in Artificial Intelligence.,CSE
Compare and contrast the implementation of Search Algorithms in different scenarios.,Artificial Intelligence,Search Algorithms,Medium,6,Analyze,Sample answer for Search Algorithms in Artificial Intelligence.,CSE
Derive the mathematical formulation for NLP.,Artificial Intelligence,NLP,Medium,8,Analyze,Sample answer for NLP in Artificial Intelligence.,CSE
Evaluate the performance characteristics of Robotics.,Artificial Intelligence,Robotics,Easy,5,Understand,Sample answer for Robotics in Artificial Intelligence.,CSE
Discuss the advantages and disadvantages of Neural Networks in Artificial Intelligence.,Artificial Intelligence,Neural Networks,Medium,6,Analyze,Sample answer for Neural Networks in Artificial Intelligence.,CSE
Describe the historical evolution of NLP.,Artificial Intelligence,NLP,Easy,5,Understand,Sample answer for NLP in Artificial Intelligence.,CSE
Derive the mathematical formulation for Fuzzy Logic.,Artificial Intelligence,Fuzzy Logic,Easy,2,Understand,Sample answer for Fuzzy Logic in Artificial Intelligence.,CSE
Discuss the advantages and disadvantages of Neural Networks in Artificial Intelligence.,Artificial Intelligence,Neural Networks,Easy,3,Understand,Sample answer for Neural Networks in Artificial Intelligence.,CSE
Differentiate between the various approaches to Robotics.,Artificial Intelligence,Robotics,Easy,5,Understand,Sample answer for Robotics in Artificial Intelligence.,CSE
Compare and contrast the implementation of Neural Networks in different scenarios.,Artificial Intelligence,Neural Networks,Easy,3,Remember,Sample answer for Neural Networks in Artificial Intelligence.,CSE
Analyze the impact of Fuzzy Logic on modern Artificial Intelligence applications.,Artificial Intelligence,Fuzzy Logic,Easy,4,Remember,Sample answer for Fuzzy Logic in Artificial Intelligence.,CSE
Calculate the efficiency of a system designed using Search Algorithms.,Artificial Intelligence,Search Algorithms,Medium,10,Apply,Sample answer for Search Algorithms in Artificial Intelligence.,CSE
Evaluate the performance characteristics of Neural Networks.,Artificial Intelligence,Neural Networks,Medium,10,Analyze,Sample answer for Neural Networks in Artificial Intelligence.,CSE
How does Fuzzy Logic integrate with other components in Artificial Intelligence?,Artificial Intelligence,Fuzzy Logic,Medium,6,Apply,Sample answer for Fuzzy Logic in Artificial Intelligence.,CSE
How does Neural Networks integrate with other components in Artificial Intelligence?,Artificial Intelligence,Neural Networks,Medium,6,Analyze,Sample answer for Neural Networks in Artificial Intelligence.,CSE
Derive the mathematical formulation for Search Algorithms.,Artificial Intelligence,Search Algorithms,Hard,10,Create,Sample answer for Search Algorithms in Artificial Intelligence.,CSE
Calculate the efficiency of a system designed using NLP.,Artificial Intelligence,NLP,Medium,6,Analyze,Sample answer for NLP in Artificial Intelligence.,CSE
Derive the mathematical formulation for Fuzzy Logic.,Artificial Intelligence,Fuzzy Logic,Easy,4,Understand,Sample answer for Fuzzy Logic in Artificial Intelligence.,CSE
How does Fuzzy Logic integrate with other components in Artificial Intelligence?,Artificial Intelligence,Fuzzy Logic,Medium,8,Apply,Sample answer for Fuzzy Logic in Artificial Intelligence.,CSE
Explain the fundamental principles of Search Algorithms in the context of Artificial Intelligence.,Artificial Intelligence,Search Algorithms,Medium,8,Apply,Sample answer for Search Algorithms in Artificial Intelligence.,CSE
Derive the mathematical formulation for Robotics.,Artificial Intelligence,Robotics,Medium,10,Apply,Sample answer for Robotics in Artificial Intelligence.,CSE
Describe the historical evolution of Neural Networks.,Artificial Intelligence,Neural Networks,Easy,5,Remember,Sample answer for Neural Networks in Artificial Intelligence.,CSE
How does Neural Networks integrate with other components in Artificial Intelligence?,Artificial Intelligence,Neural Networks,Medium,10,Apply,Sample answer for Neural Networks in Artificial Intelligence.,CSE
Describe the historical evolution of NLP.,Artificial Intelligence,NLP,Medium,6,Apply,Sample answer for NLP in Artificial Intelligence.,CSE
Explain the fundamental principles of Robotics in the context of Artificial Intelligence.,Artificial Intelligence,Robotics,Easy,5,Remember,Sample answer for Robotics in Artificial Intelligence.,CSE
Discuss the advantages and disadvantages of Neural Networks in Artificial Intelligence.,Artificial Intelligence,Neural Networks,Easy,3,Remember,Sample answer for Neural Networks in Artificial Intelligence.,CSE
Compare and contrast the implementation of Fuzzy Logic in different scenarios.,Artificial Intelligence,Fuzzy Logic,Easy,5,Understand,Sample answer for Fuzzy Logic in Artificial Intelligence.,CSE
Design a solution that effectively utilizes Fuzzy Logic to solve a real-world problem.,Artificial Intelligence,Fuzzy Logic,Medium,8,Apply,Sample answer for Fuzzy Logic in Artificial Intelligence.,CSE
Discuss the advantages and disadvantages of NLP in Artificial Intelligence.,Artificial Intelligence,NLP,Medium,10,Apply,Sample answer for NLP in Artificial Intelligence.,CSE
Compare and contrast the implementation of Search Algorithms in different scenarios.,Artificial Intelligence,Search Algorithms,Medium,5,Analyze,Sample answer for Search Algorithms in Artificial Intelligence.,CSE
Evaluate the performance characteristics of Search Algorithms.,Artificial Intelligence,Search Algorithms,Easy,2,Understand,Sample answer for Search Algorithms in Artificial Intelligence.,CSE
What are the critical safety considerations when dealing with Search Algorithms?,Artificial Intelligence,Search Algorithms,Medium,6,Apply,Sample answer for Search Algorithms in Artificial Intelligence.,CSE
Design a solution that effectively utilizes Robotics to solve a real-world problem.,Artificial Intelligence,Robotics,Medium,8,Analyze,Sample answer for Robotics in Artificial Intelligence.,CSE
Explain the fundamental principles of Search Algorithms in the context of Artificial Intelligence.,Artificial Intelligence,Search Algorithms,Easy,2,Understand,Sample answer for Search Algorithms in Artificial Intelligence.,CSE
Explain the fundamental principles of Search Algorithms in the context of Artificial Intelligence.,Artificial Intelligence,Search Algorithms,Easy,2,Understand,Sample answer for Search Algorithms in Artificial Intelligence.,CSE
Explain the fundamental principles of Search Algorithms in the context of Artificial Intelligence.,Artificial Intelligence,Search Algorithms,Hard,12,Create,Sample answer for Search Algorithms in Artificial Intelligence.,CSE
Describe the historical evolution of Robotics.,Artificial Intelligence,Robotics,Hard,20,Evaluate,Sample answer for Robotics in Artificial Intelligence.,CSE
Calculate the efficiency of a system designed using Neural Networks.,Artificial Intelligence,Neural Networks,Hard,15,Create,Sample answer for Neural Networks in Artificial Intelligence.,CSE
Analyze the impact of Robotics on modern Artificial Intelligence applications.,Artificial Intelligence,Robotics,Easy,5,Understand,Sample answer for Robotics in Artificial Intelligence.,CSE
Differentiate between the various approaches to Neural Networks.,Artificial Intelligence,Neural Networks,Easy,4,Remember,Sample answer for Neural Networks in Artificial Intelligence.,CSE
Differentiate between the various approaches to Neural Networks.,Artificial Intelligence,Neural Networks,Easy,5,Understand,Sample answer for Neural Networks in Artificial Intelligence.,CSE
Evaluate the performance characteristics of Neural Networks.,Artificial Intelligence,Neural Networks,Medium,6,Analyze,Sample answer for Neural Networks in Artificial Intelligence.,CSE
Analyze the impact of NLP on modern Artificial Intelligence applications.,Artificial Intelligence,NLP,Easy,5,Understand,Sample answer for NLP in Artificial Intelligence.,CSE
Compare and contrast the implementation of NLP in different scenarios.,Artificial Intelligence,NLP,Easy,4,Understand,Sample answer for NLP in Artificial Intelligence.,CSE
How does Search Algorithms integrate with other components in Artificial Intelligence?,Artificial Intelligence,Search Algorithms,Medium,10,Analyze,Sample answer for Search Algorithms in Artificial Intelligence.,CSE
Analyze the impact of Robotics on modern Artificial Intelligence applications.,Artificial Intelligence,Robotics,Medium,8,Analyze,Sample answer for Robotics in Artificial Intelligence.,CSE
Compare and contrast the implementation of Search Algorithms in different scenarios.,Artificial Intelligence,Search Algorithms,Medium,10,Apply,Sample answer for Search Algorithms in Artificial Intelligence.,CSE
Differentiate between the various approaches to Search Algorithms.,Artificial Intelligence,Search Algorithms,Easy,5,Understand,Sample answer for Search Algorithms in Artificial Intelligence.,CSE
Evaluate the performance characteristics of NLP.,Artificial Intelligence,NLP,Easy,3,Understand,Sample answer for NLP in Artificial Intelligence.,CSE
Derive the mathematical formulation for Search Algorithms.,Artificial Intelligence,Search Algorithms,Medium,5,Analyze,Sample answer for Search Algorithms in Artificial Intelligence.,CSE
Discuss the advantages and disadvantages of NLP in Artificial Intelligence.,Artificial Intelligence,NLP,Easy,4,Understand,Sample answer for NLP in Artificial Intelligence.,CSE
Compare and contrast the implementation of Neural Networks in different scenarios.,Artificial Intelligence,Neural Networks,Easy,2,Understand,Sample answer for Neural Networks in Artificial Intelligence.,CSE
